Track name, Artist name, Album, Playlist name, Type, ISRC
The Wizard - 2014 Remaster,Black Sabbath,Black Sabbath (2014 Remaster),Metal,Playlist track,USWB11304613
Jack the Stripper / Fairies Wear Boots - 2012 - Remaster,Black Sabbath,Paranoid (Remaster),Metal,Playlist track,USWB11304634
Rat Salad - 2012 - Remaster,Black Sabbath,Paranoid (Remaster),Metal,Playlist track,USWB11304633
Hand of Doom - 2012 - Remaster,Black Sabbath,Paranoid (Remaster),Metal,Playlist track,USWB11304632
Electric Funeral - 2012 - Remaster,Black Sabbath,Paranoid (Remaster),Metal,Playlist track,USWB11304631
Embryo - 2014 Remaster,Black Sabbath,Master of Reality (2014 Remaster),Metal,Playlist track,USWB11304544
